=== patient_001 ===
Feature	T-Statistic	P-Value	-log10(P)
gamma_slope	0.597568	5.50e-01	0.26
gamma_intercept	-0.622292	5.34e-01	0.27
gamma_midband	-0.691659	4.89e-01	0.31

=== patient_069 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-72.612048	0.00e+00	inf
delta_intercept	76.536490	0.00e+00	inf
delta_midband	79.376664	0.00e+00	inf
theta_slope	-56.138767	0.00e+00	inf
theta_intercept	66.128050	0.00e+00	inf
theta_midband	72.117899	0.00e+00	inf
alpha_slope	-42.542375	0.00e+00	inf
alpha_intercept	49.239690	0.00e+00	inf
alpha_midband	56.836471	0.00e+00	inf
beta_slope	-37.793934	1.65e-309	308.78
beta_intercept	34.034849	7.11e-252	251.15
beta_midband	21.429193	1.49e-101	100.83
gamma_slope	-2.131718	3.30e-02	1.48
gamma_intercept	2.379690	1.73e-02	1.76
gamma_midband	3.160387	1.58e-03	2.80

=== patient_071 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-12.708748	5.76e-37	36.24
delta_intercept	14.631187	2.06e-48	47.69
delta_midband	16.469334	7.75e-61	60.11
theta_slope	-2.912629	3.59e-03	2.45
theta_intercept	4.693644	2.69e-06	5.57
theta_midband	6.884299	5.85e-12	11.23
alpha_slope	-6.380796	1.77e-10	9.75
alpha_intercept	10.687449	1.22e-26	25.91
alpha_midband	14.599275	3.29e-48	47.48
beta_slope	2.068063	3.86e-02	1.41
beta_intercept	11.127016	9.75e-29	28.01
beta_midband	18.494355	3.36e-76	75.47
gamma_slope	-17.312761	5.05e-67	66.30
gamma_intercept	17.540849	9.51e-69	68.02
gamma_midband	17.825053	6.28e-71	70.20

=== patient_073 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-27.341323	1.09e-163	162.96
delta_intercept	27.943214	7.63e-171	170.12
delta_midband	27.467818	3.51e-165	164.45
theta_slope	-2.635153	8.41e-03	2.08
theta_intercept	1.907020	5.65e-02	1.25
theta_midband	-0.301589	7.63e-01	0.12
alpha_slope	-2.479627	1.32e-02	1.88
alpha_intercept	1.591224	1.12e-01	0.95
alpha_midband	-2.544815	1.09e-02	1.96
beta_slope	3.538488	4.03e-04	3.40
beta_intercept	-5.737800	9.63e-09	8.02
beta_midband	-5.791057	7.03e-09	8.15
gamma_slope	3.249015	1.16e-03	2.94
gamma_intercept	-2.482853	1.30e-02	1.88
gamma_midband	-1.535640	1.25e-01	0.90

=== patient_074 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	9.036023	1.66e-19	18.78
delta_intercept	-9.175026	4.62e-20	19.34
delta_midband	-8.617902	6.94e-18	17.16
theta_slope	3.847621	1.19e-04	3.92
theta_intercept	-4.428168	9.52e-06	5.02
theta_midband	-4.526331	6.01e-06	5.22
alpha_slope	2.283367	2.24e-02	1.65
alpha_intercept	-3.186803	1.44e-03	2.84
alpha_midband	-3.467452	5.26e-04	3.28
beta_slope	3.724492	1.96e-04	3.71
beta_intercept	-4.408857	1.04e-05	4.98
beta_midband	-5.236962	1.64e-07	6.79
gamma_slope	4.794947	1.63e-06	5.79
gamma_intercept	-6.475335	9.52e-11	10.02
gamma_midband	-7.896574	2.90e-15	14.54

=== patient_075 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-24.335755	2.80e-130	129.55
delta_intercept	26.037101	9.41e-149	148.03
delta_midband	27.305955	2.52e-163	162.60
theta_slope	-0.278502	7.81e-01	0.11
theta_intercept	11.161894	6.62e-29	28.18
theta_midband	27.902450	2.07e-170	169.68
alpha_slope	-5.024948	5.05e-07	6.30
alpha_intercept	17.989255	3.42e-72	71.47
alpha_midband	42.096463	0.00e+00	inf
beta_slope	-26.179358	2.36e-150	149.63
beta_intercept	38.653938	0.00e+00	inf
beta_midband	41.414472	0.00e+00	inf
gamma_slope	-19.093005	4.61e-81	80.34
gamma_intercept	30.677936	2.46e-205	204.61
gamma_midband	36.394934	2.27e-287	286.64

=== patient_076 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-7.282125	3.32e-13	12.48
delta_intercept	5.119401	3.07e-07	6.51
delta_midband	2.211045	2.70e-02	1.57
theta_slope	8.060099	7.74e-16	15.11
theta_intercept	-11.269885	1.96e-29	28.71
theta_midband	-14.523918	1.01e-47	47.00
alpha_slope	5.195041	2.05e-07	6.69
alpha_intercept	-7.570466	3.77e-14	13.42
alpha_midband	-10.986763	4.67e-28	27.33
beta_slope	7.242767	4.44e-13	12.35
beta_intercept	-7.580404	3.49e-14	13.46
beta_midband	-7.674661	1.68e-14	13.77
gamma_slope	2.651938	8.00e-03	2.10
gamma_intercept	-3.539947	4.00e-04	3.40
gamma_midband	-4.398772	1.09e-05	4.96

=== patient_077 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	3.238997	1.20e-03	2.92
delta_intercept	-3.595366	3.24e-04	3.49
delta_midband	-3.767433	1.65e-04	3.78
theta_slope	3.649600	2.63e-04	3.58
theta_intercept	-4.622593	3.80e-06	5.42
theta_midband	-4.949185	7.47e-07	6.13
alpha_slope	1.815191	6.95e-02	1.16
alpha_intercept	-3.543904	3.94e-04	3.40
alpha_midband	-6.138264	8.38e-10	9.08
beta_slope	2.574129	1.01e-02	2.00
beta_intercept	-6.645249	3.05e-11	10.52
beta_midband	-10.482605	1.08e-25	24.97
gamma_slope	4.425803	9.62e-06	5.02
gamma_intercept	-11.805707	3.89e-32	31.41
gamma_midband	-13.910903	6.16e-44	43.21

=== patient_078 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-40.156000	0.00e+00	inf
delta_intercept	44.829502	0.00e+00	inf
delta_midband	47.028824	0.00e+00	inf
theta_slope	-11.787544	4.78e-32	31.32
theta_intercept	22.693330	1.09e-113	112.96
theta_midband	32.982520	3.87e-237	236.41
alpha_slope	-21.264239	4.31e-100	99.37
alpha_intercept	25.185769	1.76e-139	138.75
alpha_midband	25.977919	3.13e-148	147.50
beta_slope	-12.108110	1.02e-33	32.99
beta_intercept	3.974103	7.07e-05	4.15
beta_midband	-7.652416	1.99e-14	13.70
gamma_slope	9.524736	1.69e-21	20.77
gamma_intercept	-12.250557	1.78e-34	33.75
gamma_midband	-16.355145	4.89e-60	59.31

=== patient_079 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-17.315348	5.27e-67	66.28
delta_intercept	17.864341	3.44e-71	70.46
delta_midband	17.430009	7.21e-68	67.14
theta_slope	-3.627443	2.86e-04	3.54
theta_intercept	4.418739	9.95e-06	5.00
theta_midband	4.957391	7.16e-07	6.14
alpha_slope	-2.972566	2.95e-03	2.53
alpha_intercept	6.052362	1.44e-09	8.84
alpha_midband	12.029513	2.72e-33	32.57
beta_slope	-6.585801	4.56e-11	10.34
beta_intercept	18.030653	1.75e-72	71.76
beta_midband	29.692738	2.46e-192	191.61
gamma_slope	-13.965034	2.99e-44	43.52
gamma_intercept	26.757250	8.71e-157	156.06
gamma_midband	30.346631	9.63e-201	200.02

